"","Date","country","value","year"
"1","2002-12-29","Argentina",NA,2002
"2","2002-12-29","Australia",NA,2002
"3","2002-12-29","Austria",NA,2002
"4","2002-12-29","Belgium",NA,2002
"5","2002-12-29","Bolivia",NA,2002
"6","2002-12-29","Brazil",174,2002
"7","2002-12-29","Bulgaria",NA,2002
"8","2002-12-29","Canada",NA,2002
"9","2002-12-29","Chile",NA,2002
"10","2002-12-29","France",NA,2002
"11","2002-12-29","Germany",NA,2002
"12","2002-12-29","Hungary",NA,2002
"13","2002-12-29","Japan",NA,2002
"14","2002-12-29","Mexico",NA,2002
"15","2002-12-29","Netherlands",NA,2002
"16","2002-12-29","New.Zealand",NA,2002
"17","2002-12-29","Norway",NA,2002
"18","2002-12-29","Paraguay",NA,2002
"19","2002-12-29","Peru",329,2002
"20","2002-12-29","Poland",NA,2002
"21","2002-12-29","Romania",NA,2002
"22","2002-12-29","Russia",NA,2002
"23","2002-12-29","South.Africa",NA,2002
"24","2002-12-29","Spain",NA,2002
"25","2002-12-29","Sweden",NA,2002
"26","2002-12-29","Switzerland",NA,2002
"27","2002-12-29","Ukraine",NA,2002
"28","2002-12-29","United.States",NA,2002
"29","2002-12-29","Uruguay",NA,2002
"30","2003-01-05","Argentina",NA,2003
"31","2003-01-05","Australia",NA,2003
"32","2003-01-05","Austria",NA,2003
"33","2003-01-05","Belgium",NA,2003
"34","2003-01-05","Bolivia",NA,2003
"35","2003-01-05","Brazil",162,2003
"36","2003-01-05","Bulgaria",NA,2003
"37","2003-01-05","Canada",NA,2003
"38","2003-01-05","Chile",NA,2003
"39","2003-01-05","France",NA,2003
"40","2003-01-05","Germany",NA,2003
"41","2003-01-05","Hungary",NA,2003
"42","2003-01-05","Japan",NA,2003
"43","2003-01-05","Mexico",NA,2003
"44","2003-01-05","Netherlands",NA,2003
"45","2003-01-05","New.Zealand",NA,2003
"46","2003-01-05","Norway",NA,2003
"47","2003-01-05","Paraguay",NA,2003
"48","2003-01-05","Peru",315,2003
"49","2003-01-05","Poland",NA,2003
"50","2003-01-05","Romania",NA,2003
"51","2003-01-05","Russia",NA,2003
"52","2003-01-05","South.Africa",NA,2003
"53","2003-01-05","Spain",NA,2003
"54","2003-01-05","Sweden",NA,2003
"55","2003-01-05","Switzerland",NA,2003
"56","2003-01-05","Ukraine",NA,2003
"57","2003-01-05","United.States",NA,2003
"58","2003-01-05","Uruguay",NA,2003
"59","2003-01-12","Argentina",NA,2003
"60","2003-01-12","Australia",NA,2003
"61","2003-01-12","Austria",NA,2003
"62","2003-01-12","Belgium",NA,2003
"63","2003-01-12","Bolivia",NA,2003
"64","2003-01-12","Brazil",174,2003
"65","2003-01-12","Bulgaria",NA,2003
"66","2003-01-12","Canada",NA,2003
"67","2003-01-12","Chile",1,2003
"68","2003-01-12","France",NA,2003
"69","2003-01-12","Germany",NA,2003
"70","2003-01-12","Hungary",NA,2003
"71","2003-01-12","Japan",NA,2003
"72","2003-01-12","Mexico",NA,2003
"73","2003-01-12","Netherlands",NA,2003
"74","2003-01-12","New.Zealand",NA,2003
"75","2003-01-12","Norway",NA,2003
"76","2003-01-12","Paraguay",NA,2003
"77","2003-01-12","Peru",314,2003
"78","2003-01-12","Poland",NA,2003
"79","2003-01-12","Romania",NA,2003
"80","2003-01-12","Russia",NA,2003
"81","2003-01-12","South.Africa",NA,2003
"82","2003-01-12","Spain",NA,2003
"83","2003-01-12","Sweden",NA,2003
"84","2003-01-12","Switzerland",NA,2003
"85","2003-01-12","Ukraine",NA,2003
"86","2003-01-12","United.States",NA,2003
"87","2003-01-12","Uruguay",NA,2003
"88","2003-01-19","Argentina",NA,2003
"89","2003-01-19","Australia",NA,2003
"90","2003-01-19","Austria",NA,2003
"91","2003-01-19","Belgium",NA,2003
"92","2003-01-19","Bolivia",NA,2003
"93","2003-01-19","Brazil",162,2003
"94","2003-01-19","Bulgaria",NA,2003
"95","2003-01-19","Canada",NA,2003
"96","2003-01-19","Chile",0,2003
"97","2003-01-19","France",NA,2003
"98","2003-01-19","Germany",NA,2003
"99","2003-01-19","Hungary",NA,2003
"100","2003-01-19","Japan",NA,2003
"101","2003-01-19","Mexico",NA,2003
"102","2003-01-19","Netherlands",NA,2003
"103","2003-01-19","New.Zealand",NA,2003
"104","2003-01-19","Norway",NA,2003
"105","2003-01-19","Paraguay",NA,2003
"106","2003-01-19","Peru",267,2003
"107","2003-01-19","Poland",NA,2003
"108","2003-01-19","Romania",NA,2003
"109","2003-01-19","Russia",NA,2003
"110","2003-01-19","South.Africa",NA,2003
"111","2003-01-19","Spain",NA,2003
"112","2003-01-19","Sweden",NA,2003
"113","2003-01-19","Switzerland",NA,2003
"114","2003-01-19","Ukraine",NA,2003
"115","2003-01-19","United.States",NA,2003
"116","2003-01-19","Uruguay",NA,2003
"117","2003-01-26","Argentina",NA,2003
"118","2003-01-26","Australia",NA,2003
"119","2003-01-26","Austria",NA,2003
"120","2003-01-26","Belgium",NA,2003
"121","2003-01-26","Bolivia",NA,2003
"122","2003-01-26","Brazil",131,2003
"123","2003-01-26","Bulgaria",NA,2003
"124","2003-01-26","Canada",NA,2003
"125","2003-01-26","Chile",0,2003
"126","2003-01-26","France",NA,2003
"127","2003-01-26","Germany",NA,2003
"128","2003-01-26","Hungary",NA,2003
"129","2003-01-26","Japan",NA,2003
"130","2003-01-26","Mexico",NA,2003
"131","2003-01-26","Netherlands",NA,2003
"132","2003-01-26","New.Zealand",NA,2003
"133","2003-01-26","Norway",NA,2003
"134","2003-01-26","Paraguay",NA,2003
