"X","Date","country","value","year","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
1,"2002-12-29",Argentina,,2002,17.1,74.3,2.38,37889443,242076212334,Americas,South America
2,"2002-12-29",Australia,,2002,5.0,80.3,1.76,19514385,442135393399,Oceania,Australia and New Zealand
3,"2002-12-29",Austria,,2002,4.4,78.8,1.39,8114698,196998621885,Europe,Western Europe
4,"2002-12-29",Belgium,,2002,4.4,78.2,1.68,10364613,237741668285,Europe,Western Europe
5,"2002-12-29",Bolivia,,2002,53.7,68.7,3.98,8653343,8751510220,Americas,South America
6,"2002-12-29",Brazil,174.0,2002,24.3,71.4,2.26,181045592,670512665737,Americas,South America
7,"2002-12-29",Bulgaria,,2002,16.3,72.1,1.22,7869124,14064179291,Europe,Eastern Europe
8,"2002-12-29",Canada,,2002,5.3,79.6,1.51,31288572,759428612127,Americas,Northern America
9,"2002-12-29",Chile,,2002,8.3,77.7,2.01,15544554,79448554863,Americas,South America
10,"2002-12-29",France,,2002,4.2,79.4,1.87,60075783,1363229017959,Europe,Western Europe
11,"2002-12-29",Germany,,2002,4.2,78.6,1.35,81699829,1915162776824,Europe,Western Europe
12,"2002-12-29",Hungary,,2002,8.6,72.6,1.29,10168101,50275293599,Europe,Eastern Europe
13,"2002-12-29",Japan,,2002,3.0,81.6,1.3,126249509,4761764168337,Asia,Eastern Asia
14,"2002-12-29",Mexico,,2002,19.3,74.9,2.57,105578297,585312691416,Americas,Central America
15,"2002-12-29",Netherlands,,2002,4.9,78.5,1.73,16076427,392790134494,Europe,Western Europe
16,"2002-12-29",New.Zealand,,2002,,,,,,,
17,"2002-12-29",Norway,,2002,3.6,79.1,1.75,4537240,174215767564,Europe,Northern Europe
18,"2002-12-29",Paraguay,,2002,26.1,74.1,3.51,5508615,7213731474,Americas,South America
19,"2002-12-29",Peru,329.0,2002,25.7,75.7,2.82,26601463,56085932802,Americas,South America
20,"2002-12-29",Poland,,2002,7.3,74.6,1.28,38454823,175842681117,Europe,Eastern Europe
21,"2002-12-29",Romania,,2002,21.6,71.2,1.27,21851988,41162034208,Europe,Eastern Europe
22,"2002-12-29",Russia,,2002,17.7,64.9,1.29,145195521,285879843583,Europe,Eastern Europe
23,"2002-12-29",South.Africa,,2002,,,,,,,
24,"2002-12-29",Spain,,2002,5.2,79.6,1.27,41815486,617946434914,Europe,Southern Europe
25,"2002-12-29",Sweden,,2002,3.3,80.0,1.67,8911899,256599359725,Europe,Northern Europe
26,"2002-12-29",Switzerland,,2002,4.6,80.4,1.42,7242034,253918245870,Europe,Western Europe
27,"2002-12-29",Ukraine,,2002,14.3,67.5,1.15,47890647,35912742450,Europe,Eastern Europe
28,"2002-12-29",United.States,,2002,,,,,,,
29,"2002-12-29",Uruguay,,2002,13.7,75.0,2.21,3327770,20249041605,Americas,South America
30,"2003-01-05",Argentina,,2003,16.6,74.5,2.34,38309475,263468585945,Americas,South America
31,"2003-01-05",Australia,,2003,4.9,80.6,1.75,19735255,456603230864,Oceania,Australia and New Zealand
32,"2003-01-05",Austria,,2003,4.3,79.0,1.38,8155466,198704472152,Europe,Western Europe
33,"2003-01-05",Belgium,,2003,4.2,78.5,1.7,10426169,239659286074,Europe,Western Europe
34,"2003-01-05",Bolivia,,2003,51.2,69.3,3.9,8810420,8988793402,Americas,South America
