"","Date","country","value","year","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
"1","2002-12-29","Argentina",NA,2002,17.1,74.3,2.38,37889443,242076212334,"Americas","South America"
"2","2002-12-29","Bolivia",0.101,2002,53.7,68.7,3.98,8653343,8751510220,"Americas","South America"
"3","2002-12-29","Brazil",0.073,2002,24.3,71.4,2.26,181045592,670512665737,"Americas","South America"
"4","2002-12-29","India",0.062,2002,62,62.3,3.02,1090189358,517627284474,"Asia","Southern Asia"
"5","2002-12-29","Indonesia",0.101,2002,37.8,68,2.47,217369087,178729107603,"Asia","South-Eastern Asia"
"6","2002-12-29","Mexico",NA,2002,19.3,74.9,2.57,105578297,585312691416,"Americas","Central America"
"7","2002-12-29","Philippines",NA,2002,28.9,69,3.71,81294378,86410818147,"Asia","South-Eastern Asia"
"8","2002-12-29","Singapore",0.059,2002,2.6,78.9,1.37,4136102,98799423166,"Asia","South-Eastern Asia"
"9","2002-12-29","Thailand",NA,2002,17.5,71.7,1.62,64136669,132052469496,"Asia","South-Eastern Asia"
"10","2002-12-29","Venezuela",NA,2002,17.4,73.8,2.74,25399143,110397577420,"Americas","South America"
"11","2003-01-05","Argentina",NA,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"12","2003-01-05","Bolivia",0.143,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"13","2003-01-05","Brazil",0.098,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"14","2003-01-05","India",0.047,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"15","2003-01-05","Indonesia",0.039,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"16","2003-01-05","Mexico",NA,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"17","2003-01-05","Philippines",NA,2003,28.4,69.1,3.64,82971734,90705750112,"Asia","South-Eastern Asia"
"18","2003-01-05","Singapore",0.059,2003,2.5,79.3,1.27,4254553,103324686776,"Asia","South-Eastern Asia"
"19","2003-01-05","Thailand",NA,2003,16.7,72.1,1.59,64817254,141480983231,"Asia","South-Eastern Asia"
"20","2003-01-05","Venezuela",NA,2003,16.9,73.5,2.7,25857553,101835914043,"Americas","South America"
"21","2003-01-12","Argentina",NA,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"22","2003-01-12","Bolivia",0.176,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"23","2003-01-12","Brazil",0.119,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"24","2003-01-12","India",0.051,2003,59.9,62.8,2.95,1108369577,558747568021,"Asia","Southern Asia"
"25","2003-01-12","Indonesia",0.059,2003,36.3,68.2,2.48,220307809,187273018674,"Asia","South-Eastern Asia"
"26","2003-01-12","Mexico",0.071,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
