"","Date","country","value","year","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
"1","2002-12-29","Argentina",NA,2002,17.1,74.3,2.38,37889443,242076212334,"Americas","South America"
"2","2002-12-29","Australia",NA,2002,5,80.3,1.76,19514385,442135393399,"Oceania","Australia and New Zealand"
"3","2002-12-29","Austria",NA,2002,4.4,78.8,1.39,8114698,196998621885,"Europe","Western Europe"
"4","2002-12-29","Belgium",NA,2002,4.4,78.2,1.68,10364613,237741668285,"Europe","Western Europe"
"5","2002-12-29","Bolivia",NA,2002,53.7,68.7,3.98,8653343,8751510220,"Americas","South America"
"6","2002-12-29","Brazil",174,2002,24.3,71.4,2.26,181045592,670512665737,"Americas","South America"
"7","2002-12-29","Bulgaria",NA,2002,16.3,72.1,1.22,7869124,14064179291,"Europe","Eastern Europe"
"8","2002-12-29","Canada",NA,2002,5.3,79.6,1.51,31288572,759428612127,"Americas","Northern America"
"9","2002-12-29","Chile",NA,2002,8.3,77.7,2.01,15544554,79448554863,"Americas","South America"
"10","2002-12-29","France",NA,2002,4.2,79.4,1.87,60075783,1363229017959,"Europe","Western Europe"
"11","2002-12-29","Germany",NA,2002,4.2,78.6,1.35,81699829,1915162776824,"Europe","Western Europe"
"12","2002-12-29","Hungary",NA,2002,8.6,72.6,1.29,10168101,50275293599,"Europe","Eastern Europe"
"13","2002-12-29","Japan",NA,2002,3,81.6,1.3,126249509,4761764168337,"Asia","Eastern Asia"
"14","2002-12-29","Mexico",NA,2002,19.3,74.9,2.57,105578297,585312691416,"Americas","Central America"
"15","2002-12-29","Netherlands",NA,2002,4.9,78.5,1.73,16076427,392790134494,"Europe","Western Europe"
"16","2002-12-29","New.Zealand",NA,2002,NA,NA,NA,NA,NA,NA,NA
"17","2002-12-29","Norway",NA,2002,3.6,79.1,1.75,4537240,174215767564,"Europe","Northern Europe"
"18","2002-12-29","Paraguay",NA,2002,26.1,74.1,3.51,5508615,7213731474,"Americas","South America"
"19","2002-12-29","Peru",329,2002,25.7,75.7,2.82,26601463,56085932802,"Americas","South America"
"20","2002-12-29","Poland",NA,2002,7.3,74.6,1.28,38454823,175842681117,"Europe","Eastern Europe"
"21","2002-12-29","Romania",NA,2002,21.6,71.2,1.27,21851988,41162034208,"Europe","Eastern Europe"
"22","2002-12-29","Russia",NA,2002,17.7,64.9,1.29,145195521,285879843583,"Europe","Eastern Europe"
"23","2002-12-29","South.Africa",NA,2002,NA,NA,NA,NA,NA,NA,NA
"24","2002-12-29","Spain",NA,2002,5.2,79.6,1.27,41815486,617946434914,"Europe","Southern Europe"
"25","2002-12-29","Sweden",NA,2002,3.3,80,1.67,8911899,256599359725,"Europe","Northern Europe"
"26","2002-12-29","Switzerland",NA,2002,4.6,80.4,1.42,7242034,253918245870,"Europe","Western Europe"
"27","2002-12-29","Ukraine",NA,2002,14.3,67.5,1.15,47890647,35912742450,"Europe","Eastern Europe"
"28","2002-12-29","United.States",NA,2002,NA,NA,NA,NA,NA,NA,NA
"29","2002-12-29","Uruguay",NA,2002,13.7,75,2.21,3327770,20249041605,"Americas","South America"
"30","2003-01-05","Argentina",NA,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"31","2003-01-05","Australia",NA,2003,4.9,80.6,1.75,19735255,456603230864,"Oceania","Australia and New Zealand"
"32","2003-01-05","Austria",NA,2003,4.3,79,1.38,8155466,198704472152,"Europe","Western Europe"
"33","2003-01-05","Belgium",NA,2003,4.2,78.5,1.7,10426169,239659286074,"Europe","Western Europe"
"34","2003-01-05","Bolivia",NA,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"35","2003-01-05","Brazil",162,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"36","2003-01-05","Bulgaria",NA,2003,15.5,72.3,1.25,7805041,14838464302,"Europe","Eastern Europe"
"37","2003-01-05","Canada",NA,2003,5.2,79.8,1.54,31596593,773714028802,"Americas","Northern America"
"38","2003-01-05","Chile",NA,2003,8,77.8,1.99,15729268,82560485563,"Americas","South America"
"39","2003-01-05","France",NA,2003,4,79.6,1.89,60464857,1375491323088,"Europe","Western Europe"
"40","2003-01-05","Germany",NA,2003,4.1,78.8,1.35,81569481,1907972414293,"Europe","Western Europe"
"41","2003-01-05","Hungary",NA,2003,8,72.7,1.29,10141471,52211105383,"Europe","Eastern Europe"
"42","2003-01-05","Japan",NA,2003,2.9,81.7,1.3,126523884,4842005214501,"Asia","Eastern Asia"
"43","2003-01-05","Mexico",NA,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"44","2003-01-05","Netherlands",NA,2003,4.7,78.7,1.75,16167421,394108353879,"Europe","Western Europe"
"45","2003-01-05","New.Zealand",NA,2003,NA,NA,NA,NA,NA,NA,NA
"46","2003-01-05","Norway",NA,2003,3.5,79.5,1.8,4560947,175929063478,"Europe","Northern Europe"
"47","2003-01-05","Paraguay",NA,2003,25.3,74.1,3.43,5607948,7490710349,"Americas","South America"
"48","2003-01-05","Peru",315,2003,24.1,76.2,2.77,26937737,58347474126,"Americas","South America"
"49","2003-01-05","Poland",NA,2003,7,74.9,1.27,38451227,182642797860,"Europe","Eastern Europe"
"50","2003-01-05","Romania",NA,2003,20.6,71.6,1.28,21722664,43302459253,"Europe","Eastern Europe"
"51","2003-01-05","Russia",NA,2003,16.6,64.7,1.33,144583147,306737220532,"Europe","Eastern Europe"
"52","2003-01-05","South.Africa",NA,2003,NA,NA,NA,NA,NA,NA,NA
"53","2003-01-05","Spain",NA,2003,5.1,79.6,1.3,42475265,637037529120,"Europe","Southern Europe"
"54","2003-01-05","Sweden",NA,2003,3.2,80.2,1.73,8942926,262592755597,"Europe","Northern Europe"
"55","2003-01-05","Switzerland",NA,2003,4.4,80.6,1.42,7289901,253416009483,"Europe","Western Europe"
"56","2003-01-05","Ukraine",NA,2003,13.6,67.7,1.18,47493771,39288540241,"Europe","Eastern Europe"
"57","2003-01-05","United.States",NA,2003,NA,NA,NA,NA,NA,NA,NA
"58","2003-01-05","Uruguay",NA,2003,13.3,75,2.19,3325637,20412103881,"Americas","South America"
"59","2003-01-12","Argentina",NA,2003,16.6,74.5,2.34,38309475,263468585945,"Americas","South America"
"60","2003-01-12","Australia",NA,2003,4.9,80.6,1.75,19735255,456603230864,"Oceania","Australia and New Zealand"
"61","2003-01-12","Austria",NA,2003,4.3,79,1.38,8155466,198704472152,"Europe","Western Europe"
"62","2003-01-12","Belgium",NA,2003,4.2,78.5,1.7,10426169,239659286074,"Europe","Western Europe"
"63","2003-01-12","Bolivia",NA,2003,51.2,69.3,3.9,8810420,8988793402,"Americas","South America"
"64","2003-01-12","Brazil",174,2003,22.5,71.7,2.2,183627339,678217761979,"Americas","South America"
"65","2003-01-12","Bulgaria",NA,2003,15.5,72.3,1.25,7805041,14838464302,"Europe","Eastern Europe"
"66","2003-01-12","Canada",NA,2003,5.2,79.8,1.54,31596593,773714028802,"Americas","Northern America"
"67","2003-01-12","Chile",1,2003,8,77.8,1.99,15729268,82560485563,"Americas","South America"
"68","2003-01-12","France",NA,2003,4,79.6,1.89,60464857,1375491323088,"Europe","Western Europe"
"69","2003-01-12","Germany",NA,2003,4.1,78.8,1.35,81569481,1907972414293,"Europe","Western Europe"
"70","2003-01-12","Hungary",NA,2003,8,72.7,1.29,10141471,52211105383,"Europe","Eastern Europe"
"71","2003-01-12","Japan",NA,2003,2.9,81.7,1.3,126523884,4842005214501,"Asia","Eastern Asia"
"72","2003-01-12","Mexico",NA,2003,18.2,74.9,2.52,106888418,593223360014,"Americas","Central America"
"73","2003-01-12","Netherlands",NA,2003,4.7,78.7,1.75,16167421,394108353879,"Europe","Western Europe"
