"","Date","country","value","year"
"1","2002-12-29","Argentina",NA,2002
"2","2002-12-29","Bolivia",0.101,2002
"3","2002-12-29","Brazil",0.073,2002
"4","2002-12-29","India",0.062,2002
"5","2002-12-29","Indonesia",0.101,2002
"6","2002-12-29","Mexico",NA,2002
"7","2002-12-29","Philippines",NA,2002
"8","2002-12-29","Singapore",0.059,2002
"9","2002-12-29","Thailand",NA,2002
"10","2002-12-29","Venezuela",NA,2002
"11","2003-01-05","Argentina",NA,2003
"12","2003-01-05","Bolivia",0.143,2003
"13","2003-01-05","Brazil",0.098,2003
"14","2003-01-05","India",0.047,2003
"15","2003-01-05","Indonesia",0.039,2003
"16","2003-01-05","Mexico",NA,2003
"17","2003-01-05","Philippines",NA,2003
"18","2003-01-05","Singapore",0.059,2003
"19","2003-01-05","Thailand",NA,2003
"20","2003-01-05","Venezuela",NA,2003
"21","2003-01-12","Argentina",NA,2003
"22","2003-01-12","Bolivia",0.176,2003
"23","2003-01-12","Brazil",0.119,2003
"24","2003-01-12","India",0.051,2003
"25","2003-01-12","Indonesia",0.059,2003
"26","2003-01-12","Mexico",0.071,2003
"27","2003-01-12","Philippines",NA,2003
"28","2003-01-12","Singapore",0.238,2003
"29","2003-01-12","Thailand",NA,2003
"30","2003-01-12","Venezuela",NA,2003
"31","2003-01-19","Argentina",NA,2003
"32","2003-01-19","Bolivia",0.173,2003
"33","2003-01-19","Brazil",0.17,2003
"34","2003-01-19","India",0.032,2003
"35","2003-01-19","Indonesia",0.039,2003
"36","2003-01-19","Mexico",0.052,2003
"37","2003-01-19","Philippines",NA,2003
"38","2003-01-19","Singapore",0.175,2003
"39","2003-01-19","Thailand",NA,2003
"40","2003-01-19","Venezuela",NA,2003
"41","2003-01-26","Argentina",NA,2003
"42","2003-01-26","Bolivia",0.146,2003
"43","2003-01-26","Brazil",0.138,2003
"44","2003-01-26","India",0.04,2003
"45","2003-01-26","Indonesia",0.112,2003
"46","2003-01-26","Mexico",0.048,2003
"47","2003-01-26","Philippines",NA,2003
"48","2003-01-26","Singapore",0.164,2003
"49","2003-01-26","Thailand",NA,2003
"50","2003-01-26","Venezuela",NA,2003
"51","2003-02-02","Argentina",NA,2003
"52","2003-02-02","Bolivia",0.16,2003
"53","2003-02-02","Brazil",0.202,2003
"54","2003-02-02","India",0.038,2003
"55","2003-02-02","Indonesia",0.049,2003
"56","2003-02-02","Mexico",0.041,2003
"57","2003-02-02","Philippines",NA,2003
"58","2003-02-02","Singapore",0.163,2003
"59","2003-02-02","Thailand",NA,2003
"60","2003-02-02","Venezuela",NA,2003
"61","2003-02-09","Argentina",NA,2003
"62","2003-02-09","Bolivia",0.225,2003
"63","2003-02-09","Brazil",0.179,2003
"64","2003-02-09","India",0.019,2003
"65","2003-02-09","Indonesia",0.06,2003
"66","2003-02-09","Mexico",0.042,2003
"67","2003-02-09","Philippines",NA,2003
"68","2003-02-09","Singapore",0.15,2003
"69","2003-02-09","Thailand",NA,2003
"70","2003-02-09","Venezuela",NA,2003
"71","2003-02-16","Argentina",0.046,2003
"72","2003-02-16","Bolivia",0.109,2003
"73","2003-02-16","Brazil",0.239,2003
"74","2003-02-16","India",0.008,2003
"75","2003-02-16","Indonesia",0.039,2003
"76","2003-02-16","Mexico",0.049,2003
"77","2003-02-16","Philippines",NA,2003
"78","2003-02-16","Singapore",0.144,2003
"79","2003-02-16","Thailand",NA,2003
"80","2003-02-16","Venezuela",0.139,2003
"81","2003-02-23","Argentina",0.048,2003
"82","2003-02-23","Bolivia",0.147,2003
"83","2003-02-23","Brazil",0.205,2003
"84","2003-02-23","India",0.022,2003
"85","2003-02-23","Indonesia",0.078,2003
"86","2003-02-23","Mexico",0.054,2003
"87","2003-02-23","Philippines",NA,2003
"88","2003-02-23","Singapore",0.142,2003
"89","2003-02-23","Thailand",NA,2003
"90","2003-02-23","Venezuela",0.137,2003
"91","2003-03-02","Argentina",0.051,2003
"92","2003-03-02","Bolivia",0.119,2003
"93","2003-03-02","Brazil",0.142,2003
